task,baseline_trial,with_trial,baseline_reward,with_reward,delta_reward,with_valid_verifier_result,with_timeout_upload_result,baseline_exception_type,with_exception_type,baseline_wall_duration_sec,with_wall_duration_sec,delta_wall_duration_sec,baseline_agent_execution_sec,with_agent_execution_sec,delta_agent_execution_sec,baseline_verifier_sec,with_verifier_sec,delta_verifier_sec,baseline_total_input_output_tokens,with_total_input_output_tokens,delta_total_input_output_tokens,baseline_uncached_input_output_tokens,with_uncached_input_output_tokens,delta_uncached_input_output_tokens,with_prompt_chars,with_injected_context_chars,with_kimi_tool_call_events,with_kimi_usage_turns,with_kimi_llm_stream_duration_ms_sum,with_comparison_status
adaptive-rejection-sampler,adaptive-rejection-sampler__7AAg4Pi,adaptive-rejection-sampler__Q4oCfYc,0.0,,,False,False,AgentTimeoutError,AgentTimeoutError,916.35,900.634,-15.716,900.002,899.978,-0.024,3.798,0.08,-3.718,285184,774730,489546.0,31030,72266,41236.0,10129,5455,,19,645755,invalid_or_missing
break-filter-js-from-html,break-filter-js-from-html__jJqdVr7,break-filter-js-from-html__8tP5yyX,0.0,0.0,0.0,True,True,,AgentTimeoutError,541.032,953.215,412.183,31.0,900.392,869.392,120.829,38.913,-81.916,20866,574860,553994.0,1192,90508,89316.0,6038,3281,,13,832004,timeout_failure
cancel-async-tasks,cancel-async-tasks__pdHm6Ub,cancel-async-tasks__UmqeHfc,0.0,1.0,1.0,True,False,,,273.058,261.143,-11.915,108.755,207.735,98.98,150.647,42.196,-108.451,49196,57327,8131.0,9836,21231,11395.0,3058,1649,2,2,194876,passed
chess-best-move,chess-best-move__YWzYkSZ,chess-best-move__MBoXvZy,0.0,0.0,0.0,True,True,,AgentTimeoutError,1745.222,648.379,-1096.843,772.35,600.611,-171.739,124.3,36.608,-87.692,123176,750107,626931.0,83922,55579,-28343.0,4563,2129,,22,521163,timeout_failure
configure-git-webserver,configure-git-webserver__L3zL6Wm,configure-git-webserver__TcPkHzp,0.0,0.0,0.0,True,False,,,718.374,604.636,-113.738,255.566,426.406,170.84,113.799,57.741,-56.058,1508336,761210,-747126.0,8594,43386,34792.0,6893,4517,29,23,338190,failed
count-dataset-tokens,count-dataset-tokens__bMTDtbq,count-dataset-tokens__syFscbp,0.0,1.0,1.0,True,True,,AgentTimeoutError,650.079,958.594,308.515,366.166,900.041,533.875,26.421,45.974,19.553,560400,653136,92736.0,6666,37456,30790.0,6468,4137,20,21,182123,passed
dna-insert,dna-insert__sW3VReS,dna-insert__5sUn5fD,0.0,0.0,0.0,True,False,,,1152.308,650.18,-502.128,724.158,594.052,-130.106,38.023,44.307,6.284,3662895,953402,-2709493.0,60797,62778,1981.0,9906,6951,24,25,512547,failed
feal-differential-cryptanalysis,feal-differential-cryptanalysis__ULVpXrK,feal-differential-cryptanalysis__YKaaZke,0.0,1.0,1.0,True,False,,,3680.244,655.809,-3024.435,1767.851,580.081,-1187.77,1827.896,58.14,-1769.756,555976,190910,-365066.0,145620,31422,-114198.0,6160,3309,5,5,565344,passed
filter-js-from-html,filter-js-from-html__UAWA7hS,filter-js-from-html__ZfjJFB7,0.0,0.0,0.0,True,False,,,760.633,628.78,-131.853,512.026,424.929,-87.097,43.465,61.802,18.337,195712,267505,71793.0,40310,43249,2939.0,17210,14651,6,7,402475,failed
gcode-to-text,gcode-to-text__sw2X5Tf,gcode-to-text__5avJ8q4,0.0,0.0,0.0,True,True,,AgentTimeoutError,6942.814,950.125,-5992.689,3715.759,900.043,-2815.716,1101.753,38.052,-1063.701,861828,3304719,2442891.0,38971,165135,126164.0,6414,4333,,57,716698,timeout_failure
git-leak-recovery,git-leak-recovery__QihhiXn,git-leak-recovery__DgoaY7Z,0.0,,,False,False,,RewardFileNotFoundError,3673.071,410.393,-3262.678,101.63,142.086,40.456,3512.453,267.608,-3244.845,723071,354178,-368893.0,9637,21890,12253.0,7460,5097,12,13,119292,invalid_or_missing
headless-terminal,headless-terminal__CeZyykm,headless-terminal__KWjJ8Za,0.0,0.0,0.0,True,False,,,1573.093,271.67,-1301.423,769.709,197.699,-572.01,452.23,62.947,-389.283,2638099,315409,-2322690.0,55083,33809,-21274.0,4828,2163,9,10,175932,failed
kv-store-grpc,kv-store-grpc__L7ipooF,kv-store-grpc__X93pMKy,0.0,1.0,1.0,True,False,,,266.158,278.689,12.531,107.851,257.935,150.084,146.026,9.33,-136.696,378650,366059,-12591.0,3781,24555,20774.0,6582,3614,12,13,207662,passed
largest-eigenval,largest-eigenval__fPTqyqk,largest-eigenval__nMajFeB,0.0,0.0,0.0,True,True,AgentTimeoutError,AgentTimeoutError,1495.272,1016.486,-478.786,900.003,900.016,0.013,94.368,105.402,11.034,1419894,2089040,669146.0,61388,102480,41092.0,15535,12936,,37,904205,timeout_failure
mteb-leaderboard,mteb-leaderboard__uMsCfjK,mteb-leaderboard__754VTrP,0.0,,,False,False,,FileNotFoundError,13377.173,912.367,-12464.806,12843.659,900.532,-11943.127,14.534,,,3449106,3676427,227321.0,26282,96523,70241.0,6092,3520,0,69,360027,invalid_or_missing
openssl-selfsigned-cert,openssl-selfsigned-cert__TqctTLL,openssl-selfsigned-cert__CNeAhwi,0.0,1.0,1.0,True,False,,,152.584,198.824,46.24,64.107,160.447,96.34,63.959,27.069,-36.89,482821,384414,-98407.0,3764,20638,16874.0,5256,2528,14,15,129697,passed
pypi-server,pypi-server__Z6V6uhN,pypi-server__LD72UyK,0.0,0.0,0.0,True,False,,,514.708,151.246,-363.462,156.66,76.472,-80.188,205.026,63.934,-141.092,783115,103011,-680104.0,5182,14179,8997.0,12728,9727,6,4,24885,failed
query-optimize,query-optimize__qSVU2Yu,query-optimize__zDp5pa9,0.0,1.0,1.0,True,False,,,1239.581,597.66,-641.921,520.625,110.452,-410.173,641.236,475.739,-165.497,672413,77691,-594722.0,33585,15483,-18102.0,6386,3629,4,3,63278,passed
raman-fitting,raman-fitting__5ZfLrcZ,raman-fitting__wie6HBc,0.0,0.0,0.0,True,False,,,34777.01,678.753,-34098.257,13687.977,632.652,-13055.325,21075.619,34.187,-21041.432,100941,822533,721592.0,21705,65541,43836.0,14237,11526,21,19,586105,failed
sanitize-git-repo,sanitize-git-repo__FbeDTPh,sanitize-git-repo__27w76Zf,0.0,1.0,1.0,True,False,,,213.86,227.081,13.221,92.027,193.839,101.812,58.401,21.313,-37.088,1110041,461886,-648155.0,9481,40766,31285.0,5601,3433,19,13,162186,passed
torch-tensor-parallelism,torch-tensor-parallelism__JwtXP8b,torch-tensor-parallelism__MraQAPJ,0.0,1.0,1.0,True,False,,,745.099,520.383,-224.716,639.38,381.575,-257.805,91.495,127.022,35.527,85782,99611,13829.0,46816,46363,-453.0,7547,4160,2,3,370974,passed
write-compressor,write-compressor__TnHd2go,write-compressor__eSjPkhV,0.0,0.0,0.0,True,True,AgentTimeoutError,AgentTimeoutError,1028.553,1063.287,34.734,900.004,900.011,0.007,33.365,45.423,12.058,474,85003,84529.0,474,48139,47665.0,17119,14563,,2,817374,timeout_failure
